Location,Updated,WaitTimeInSeconds
VF0,2023-07-12T12:45:00,406
VF1,2023-07-12T12:45:00,1110
VF2,2023-07-12T12:45:00,60
VF3,2023-07-12T12:45:00,418
VF4,2023-07-12T12:45:00,112
VH3,2023-07-12T12:45:00,91
AF2,2023-07-12T13:01:00,537
AF3,2023-07-12T13:02:00,60
EF-T,2023-07-12T13:02:00,619
GH-T,2023-07-12T13:01:00,60
NS-S,2023-07-12T13:02:00,122
S-NS,2023-07-12T13:02:00,79
VF0,2023-07-12T13:02:00,376
VF1,2023-07-12T13:01:00,0
VF2,2023-07-12T13:01:00,199
VF3,2023-07-12T13:01:00,0
VF4,2023-07-12T13:01:00,0
VH3,2023-07-12T13:01:00,60
AF2,2023-07-12T13:19:00,394
AF3,2023-07-12T13:20:00,162
EF-T,2023-07-12T13:20:00,526
GH-T,2023-07-12T13:19:00,60
NS-S,2023-07-12T13:20:00,845
S-NS,2023-07-12T13:20:00,60
VF0,2023-07-12T13:19:00,316
VF1,2023-07-12T13:19:00,595
VF2,2023-07-12T13:20:00,60
VF3,2023-07-12T13:19:00,429
VF4,2023-07-12T13:19:00,60
VH3,2023-07-12T13:19:00,120
AF2,2023-07-12T13:30:00,117
AF3,2023-07-12T13:30:00,556
EF-T,2023-07-12T13:30:00,321
GH-T,2023-07-12T13:30:00,75
NS-S,2023-07-12T13:30:00,698
S-NS,2023-07-12T13:30:00,74
VF0,2023-07-12T13:30:00,153
VF1,2023-07-12T13:30:00,524
VF2,2023-07-12T13:30:00,60
VF3,2023-07-12T13:30:00,420
VF4,2023-07-12T13:30:00,105
VH3,2023-07-12T13:29:00,60
AF2,2023-07-12T13:45:00,95
AF3,2023-07-12T13:45:00,185
EF-T,2023-07-12T13:45:00,60
GH-T,2023-07-12T13:45:00,150
NS-S,2023-07-12T13:45:00,861
S-NS,2023-07-12T13:45:00,611
VF0,2023-07-12T13:45:00,60
VF1,2023-07-12T13:45:00,509
VF2,2023-07-12T13:45:00,127
VF3,2023-07-12T13:45:00,477
VF4,2023-07-12T13:45:00,432
VH3,2023-07-12T13:45:00,60
AF2,2023-07-12T14:11:00,198
AF3,2023-07-12T14:11:00,334
EF-T,2023-07-12T14:11:00,132
GH-T,2023-07-12T14:10:00,60
NS-S,2023-07-12T14:11:00,640
S-NS,2023-07-12T14:11:00,2173
VF0,2023-07-12T14:11:00,60
VF1,2023-07-12T14:10:00,589
VF2,2023-07-12T14:11:00,60
VF3,2023-07-12T14:10:00,392
VF4,2023-07-12T14:10:00,264
VH3,2023-07-12T14:11:00,60
AF2,2023-07-12T14:48:00,609
AF3,2023-07-12T14:49:00,932
EF-T,2023-07-12T14:49:00,172
GH-T,2023-07-12T14:48:00,60
NS-S,2023-07-12T14:49:00,359
S-NS,2023-07-12T14:49:00,785
VF0,2023-07-12T14:49:00,60
VF1,2023-07-12T14:48:00,358
VF2,2023-07-12T14:49:00,111
VF3,2023-07-12T14:48:00,449
VF4,2023-07-12T14:48:00,175
VH3,2023-07-12T14:48:00,60
AF2,2023-07-12T15:16:00,590
AF3,2023-07-12T15:16:00,509
EF-T,2023-07-12T15:16:00,60
GH-T,2023-07-12T15:16:00,272
NS-S,2023-07-12T15:16:00,632
S-NS,2023-07-12T15:16:00,227
VF0,2023-07-12T15:16:00,60
VF1,2023-07-12T15:16:00,531
VF2,2023-07-12T15:16:00,93
VF3,2023-07-12T15:16:00,376
VF4,2023-07-12T15:16:00,112
VH3,2023-07-12T15:16:00,60
AF2,2023-07-12T15:36:00,549
AF3,2023-07-12T15:36:00,1756
EF-T,2023-07-12T15:36:00,160
GH-T,2023-07-12T15:36:00,113
NS-S,2023-07-12T15:36:00,60
S-NS,2023-07-12T15:36:00,60
VF0,2023-07-12T15:36:00,60
VF1,2023-07-12T15:36:00,409
VF2,2023-07-12T15:36:00,60
VF3,2023-07-12T15:36:00,324
VF4,2023-07-12T15:36:00,76
VH3,2023-07-12T15:36:00,60
AF2,2023-07-12T15:45:00,494
AF3,2023-07-12T15:45:00,1835
EF-T,2023-07-12T15:45:00,158
GH-T,2023-07-12T15:45:00,75
NS-S,2023-07-12T15:45:00,65
S-NS,2023-07-12T15:45:00,109
VF0,2023-07-12T15:45:00,60
VF1,2023-07-12T15:45:00,498
VF2,2023-07-12T15:45:00,60
VF3,2023-07-12T15:45:00,344
VF4,2023-07-12T15:45:00,88
VH3,2023-07-12T15:45:00,60
AF2,2023-07-12T16:02:00,173
AF3,2023-07-12T16:02:00,405
EF-T,2023-07-12T16:02:00,60
GH-T,2023-07-12T16:02:00,60
NS-S,2023-07-12T16:02:00,437
S-NS,2023-07-12T16:02:00,500
VF0,2023-07-12T16:02:00,145
